SIC07 description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Agriculture, forestry and fishing",418.729817007535,568.720379146919,671.604938271605,747.356051703878,653.141361256545,588.500563697858,668.39378238342,594.244604316547,557.011795543906,637.115839243499,508.869179600887,330.061349693252,543.670264965653,582.954545454546,489.18640576725,539.033457249071,566.191446028513,565.169769989047,579
Mining and quarrying,112.871287128713,130.718954248366,137.176938369781,173.044925124792,203.603603603604,205.940594059406,215.01014198783,235.621521335807,271.805273833671,245.387453874539,185.554171855542,151.77065767285,161.716171617162,150.300601202405,139.378673383711,192.045454545455,205.479452054795,219.858156028369,219
Manufacturing,4546.79802955665,4635.32401524778,4870.44025157233,4680.57366362451,4493.62244897959,4595.90792838875,4642.85714285714,4880.59701492537,4973.92438070404,4961.99213630406,5109.84848484849,4809.41176470588,5098.87359198999,4868.93203883495,5072.76995305164,5197.63694951665,5239.91275899673,5921.54696132597,5509
"Electricity, gas, steam and air conditioning supply",498.985801217039,553.911205073996,620.535714285714,690.537084398977,657.407407407407,684.210526315789,686.41975308642,665,594,554.493307839388,552.915766738661,559.782608695652,540.909090909091,503.597122302158,489.291598023064,548.993288590604,489.461358313817,523.55460385439,536
Water supply; sewerage and waste management,247.328244274809,246.418338108883,258.110014104372,292.207792207792,318.987341772152,350.235849056604,412.89592760181,451.434878587197,436.853002070393,464.393179538616,489.119170984456,412.60162601626,392.985611510791,380.492091388401,443.455031166518,463.43779677113,468.75,484.126984126984,624
Construction,2172.11703958692,2331.64983164983,2482.14285714286,2664.71449487555,2738.83626522327,3029.64959568733,3252.04359673024,3318.07228915663,3514.67268623025,3481.75965665236,3013.24503311258,2377.90055248619,2455.69620253165,2363.73748609566,1960.36585365854,1920.66601371205,2100.9900990099,2346.79802955665,2587
Wholesale and retail trade; repair of motor vehicles,2738.12423873325,2906.54205607477,3101.94730813288,3211.68687982359,3269.93166287016,3638.0846325167,3854.94505494505,4007.44680851064,4196.84210526316,4363.06400839454,4087.47514910537,3894.94163424124,4224.83537158984,4478.5100286533,4552.18216318786,4406.73076923077,4673.41040462428,4626.23274161736,5068
Transportation and storage,1218.50079744817,1220.58823529412,1360.73825503356,1428.80258899676,1403.14960629921,1567.48466257669,1727.40963855422,1594.39528023599,1581.29496402878,1654.11436541144,1647.9250334672,1550.56179775281,1517.96060254925,1562.21198156682,1498.29738933031,1509.65665236052,1552.08333333333,1584.1784989858,1567
Accommodation and food service activities,677.830940988836,764.521193092622,777.945619335347,840.53651266766,851.959361393324,952.112676056338,962.008141112619,1052.91723202171,1108.51648351648,1136.11859838275,1107.47051114024,1011.62790697674,932.36074270557,886.304909560723,937.349397590362,905.781584582441,955.208333333333,1031.28258602711,1028
Information and communication,451.534733441034,569.070373588184,700.096432015429,778.571428571429,780.753968253968,854.886475814413,844.143272023234,849.112426035503,878.63590772317,960,939.21568627451,932.286555446516,913.811007268951,977.800201816347,1112.25540679712,1111.22144985104,1053.2319391635,1135.02935420744,1169
Financial and insurance activities,859.348198970841,883.211678832117,900.375939849624,973.634651600753,1046.84684684685,1205.98006644518,1264.23357664234,1294.57364341085,1365.6330749354,1432.08430913349,1554.98059508409,1609.08084163898,1381.89845474614,1303.82513661202,1293.98663697105,1535.22607781283,1455.1863041289,1405.88853838065,1525
Real estate activities,3867.28754365541,3857.64294049008,3960.23391812865,3970.76023391813,3945.62647754137,4011.72332942556,4079.90599294947,4324.84848484849,4623.25581395349,4320,3980.84677419355,4012.71676300578,4023.282887078,4114.09395973154,4142.85714285714,4250.27085590466,4280,4281.86528497409,4296
"Professional, scientific and technical activities",757.281553398058,832.349468713105,834.467120181406,929.545454545455,960.292580982236,1086.3539445629,1102.21285563751,1199.77553310887,1266.95371367061,1371.14537444934,1322.23415682062,1189.65517241379,1147.20812182741,1186.91588785047,1184.50560652396,1222.78225806452,1306,1412,1475
Administrative and support service activities,443.645083932854,478.77358490566,513.761467889908,550.877192982456,586.767895878525,595.701125895599,665.326633165829,726.215644820296,780.412371134021,865.131578947369,830.897703549061,787.054409005629,842.47258225324,843.877551020408,933.062880324544,992.978936810431,1055.43933054393,1103.81355932203,1051
Public administration and defence,3714.55938697318,3526.02230483271,3579.13669064748,3617.74744027304,3737.37373737374,3912.14057507987,3820.94081942337,3915.47277936963,3720.99447513812,3487.9679144385,3725.7217847769,3737.10691823899,3388.61985472155,3660.46511627907,3704.08163265306,3393.33333333333,3531.35313531353,3408.31556503198,3330
Education,2759.18367346939,2910.33138401559,2815.35648994516,2601.36286201022,2727.27272727273,2723.1467473525,2627.09497206704,2809.58904109589,2788.7323943662,2641.4201183432,2635.06063947078,2578.05907172996,2398.9847715736,2389.72809667674,2521.69421487603,2450.61728395062,2410.17964071856,2314.8893360161,2378
